names,scores,logfoldchanges,pvals,pvals_adj,log2fc,actual_fold_change,combined_rank
NKG7,17.716894,1.82086,3.105910757703735e-70,1.8311270941586182e-68,2.6269457,6.177169,32.259983
LRMP,16.771017,1.8920581,3.976453237961656e-63,1.946534109273715e-61,2.729663,6.6330056,31.731739
RASGRP2,17.649958,1.7690233,1.0183374106069832e-69,5.8750794753375736e-68,2.5521612,5.865122,31.223186
IRF2BP2,19.97951,1.5534698,8.303735309330241e-89,6.98638230140212e-87,2.241183,4.7278466,31.037563
PTPN6,13.194446,2.342186,9.4446797741442e-40,2.3257523943830096e-38,3.37906,10.403955,30.903845
CFD,23.371359,1.3186972,8.359944541585585e-121,1.2057727153997636e-118,1.902478,3.7385478,30.819746
YPEL3,17.275873,1.7756318,7.14826537242994e-67,3.901117527913285e-65,2.561695,5.90401,30.675589
PRTN3,13.736014,2.2227278,6.17843810955545e-43,1.714888130958054e-41,3.2067184,9.23248,30.53142
LYZ,17.447525,1.7013505,3.5947978481723557e-68,1.9751824639243617e-66,2.4545298,5.4813447,29.684355
IL17RA,14.6858015,2.0074036,7.948923907060537e-49,2.6421176295196688e-47,2.8960712,7.4439645,29.480331
ALAS1,15.986203,1.8198665,1.594569482016639e-57,6.999640057743693e-56,2.6255124,6.1710343,29.092756
ID1,18.16856,1.5379908,9.157081022477162e-74,5.778261204574065e-72,2.2188518,4.6552277,27.943079
IFITM2,24.628458,1.0938871,6.262585378219854e-134,1.149611411360949e-131,1.5781455,2.9858577,26.940752
RP11-467L13.7,15.084427,1.7499238,2.0504721758649247e-51,7.360739450871553e-50,2.5246065,5.7541637,26.396599
ARHGAP9,12.839375,2.052366,9.86689550168896e-38,2.2769975704897638e-36,2.9609382,7.7863026,26.351095
MSN,24.10425,1.0914824,2.2559264369427345e-128,3.796066214830514e-126,1.5746763,2.9786866,26.309364
RUNX1,20.825659,1.2585318,2.5342014525799287e-96,2.5585931415610104e-94,1.8156776,3.5202491,26.209755
ZFP36L2,17.61841,1.4843949,1.7793497535028025e-69,1.0120991520452207e-67,2.141529,4.412295,26.152678
VAMP8,27.47891,0.93687457,3.137138368790584e-166,8.446222201573849e-164,1.3516243,2.551993,25.744293
PLD1,11.892557,2.1643615,1.2938312321454613e-32,2.494099012419783e-31,3.1225135,8.70904,25.739792
FST,12.161185,2.0917513,5.002732640597291e-34,1.0307926412781714e-32,3.0177593,8.099087,25.438175
THEMIS2,14.071452,1.7939692,5.688881472652598e-45,1.7145184945751879e-43,2.5881505,6.013273,25.243752
TMEM154,14.034937,1.7470325,9.528067664500562e-45,2.8293456811092295e-43,2.520435,5.737551,24.519491
FNDC3B,13.982679,1.7410864,1.9885799071184793e-44,5.861956171458379e-43,2.5118566,5.7035356,24.345053
CYTIP,11.745977,2.041191,7.406124116500928e-32,1.3976463665649067e-30,2.9448164,7.6997747,23.975784
GMFG,20.190804,1.1776398,1.1793037993803458e-90,1.0948548031718452e-88,1.6989752,3.2467022,23.777494
ADRBK2,12.858039,1.8397447,7.751883733590839e-38,1.7940391093470833e-36,2.6541905,6.2949305,23.655508
MARC2,12.287004,1.9238466,1.063752495137439e-34,2.2258883168976926e-33,2.775524,6.8472466,23.638311
CYBA,24.666157,0.9577896,2.469239659424802e-134,4.6381508672497964e-132,1.3817983,2.60593,23.624989
PGD,20.06714,1.1232053,1.4300015095260785e-89,1.2287364034512911e-87,1.6204427,3.0746934,22.539518
LAPTM5,21.503307,1.0067939,1.4497601162480773e-102,1.6040701998542081e-100,1.4524965,2.7368124,21.649397
FCGR2A,14.776732,1.4496737,2.069671845060328e-49,7.113506167043518e-48,2.091437,4.2617235,21.42144
SLC26A2,12.370746,1.7257035,3.7631136990547197e-35,8.062246511210867e-34,2.4896638,5.6164703,21.348238
AP001171.1,19.509968,1.0825132,9.034003610952395e-85,6.883740298647405e-83,1.5617365,2.9520895,21.119799
CDH24,11.258336,1.8655686,2.1069944184706908e-29,3.590336269617673e-28,2.6914465,6.4596076,21.003199
CCPG1,14.461704,1.4504671,2.1149429959648137e-47,6.698978266042275e-46,2.0925817,4.265106,20.976227
BTG1,18.504875,1.1291785,1.886173080129252e-76,1.2695516640169973e-74,1.6290603,3.0931144,20.895308
NCKAP1L,14.955233,1.3958759,1.4397824562403306e-50,5.100492499584715e-49,2.0138233,4.0385103,20.875648
PYGL,10.863578,1.920864,1.7187952007997866e-27,2.667343636765719e-26,2.771221,6.826854,20.867455
TRIM38,14.322791,1.4173448,1.5766141007399679e-46,4.935779880494853e-45,2.0447962,4.12615,20.300333
ZBTB16,10.947327,1.8400532,6.843752357278708e-28,1.0775241284549731e-26,2.6546357,6.296873,20.143663
RP11-301G19.1,23.327717,0.8594971,2.3204098308257374e-120,3.2880614392244704e-118,1.2399921,2.3619726,20.050104
TMSB4X,27.73041,0.7088193,3.0025582891160605e-169,8.362642517651869e-167,1.0226102,2.0315912,19.65585
TRANK1,11.38743,1.7254131,4.8302608702834025e-30,8.390111193393343e-29,2.489245,5.61484,19.648022
TUBA1A,13.272774,1.4726026,3.330233318229004e-40,8.353507612216045e-39,2.1245165,4.360569,19.54552
CD37,11.98399,1.61703,4.310655054498924e-33,8.49199045736288e-32,2.3328812,5.038105,19.378471
C1orf132,10.662214,1.8112819,1.5291242936318637e-26,2.249678856040904e-25,2.6131275,6.118285,19.312277
S100A11,21.27491,0.9038628,1.9388483722376402e-100,2.0880104403417893e-98,1.3039984,2.4691224,19.229599
SH3BGRL3,19.914402,0.9491064,3.0527270358384e-88,2.4656876268466757e-86,1.369271,2.5834,18.900887
ANKRD28,15.152619,1.2266243,7.280615059047099e-52,2.6370191852880456e-50,1.7696447,3.4096994,18.58657
BHLHE40,13.941227,1.3251971,3.5577184256149624e-44,1.0299531083760593e-42,1.9118552,3.7629268,18.474874
LCP2,12.027935,1.5020096,2.5342051711964645e-33,5.041570238363015e-32,2.166942,4.4907045,18.066074
FES,10.895956,1.5959262,1.2049487235836343e-27,1.8824701818926526e-26,2.3024347,4.932895,17.389141
PXK,11.122411,1.5278348,9.759810701358701e-29,1.5861165198163828e-27,2.2041996,4.608188,16.993206
PLP2,15.821946,1.0725975,2.195997513359162e-56,9.434612720958486e-55,1.5474311,2.9229617,16.97058
PIK3R1,11.16301,1.5048352,6.186137643733838e-29,1.017625941923385e-27,2.1710184,4.503412,16.79849
ARPC1B,22.351572,0.7487206,1.1656584732156427e-110,1.4484651520250379e-108,1.0801755,2.114293,16.735083
TLE4,12.363734,1.3381385,4.106288686577036e-35,8.774204688222942e-34,1.9305257,3.8119407,16.544388
MYH9,12.721922,1.2948778,4.467368076054898e-37,1.0079031271032239e-35,1.8681138,3.65055,16.473333
TFAP2A,10.741197,1.4868407,6.51937137489933e-27,9.78753951581076e-26,2.1450577,4.4231,15.9704485
CITED2,15.085857,1.0398155,2.006497408927443e-51,7.235035523172748e-50,1.5001367,2.828695,15.686509
UGP2,15.631851,1.0013617,4.4178127143547485e-55,1.784133664692165e-53,1.4446596,2.7219858,15.653137
CREG1,16.375536,0.95487,2.85981062386309e-60,1.3124255914171693e-58,1.3775862,2.5983326,15.636508
METTL9,17.583815,0.8816897,3.277626400850395e-69,1.8512859048719326e-67,1.2720094,2.4149768,15.5034685
LIMD2,19.009256,0.81525075,1.4296333159761752e-80,1.0129077450122428e-78,1.1761582,2.2597423,15.497311
CNTRL,12.5827,1.2306904,2.6288809429028906e-36,5.801494911428046e-35,1.7755109,3.4235926,15.485407
LGALS1,14.75707,1.0397351,2.7705903993151257e-49,9.402545653474063e-48,1.5000206,2.8284676,15.343443
PSMB9,10.766971,1.4215612,4.92953080459422e-27,7.470135142346625e-26,2.0508792,4.1435843,15.305908
CNN2,15.923034,0.9548429,4.3858883858994217e-57,1.914855161778899e-55,1.3775471,2.5982625,15.203996
BRI3,16.336967,0.90864027,5.38668975585205e-60,2.4580956586450286e-58,1.3108908,2.4809468,14.844426
CPD,11.700972,1.2643455,1.2600280159084693e-31,2.3130105192028875e-30,1.824065,3.5407743,14.794071
IL10RB,10.593738,1.3613372,3.1861023053111267e-26,4.628443942445678e-25,1.9639944,3.901407,14.421649
MARCH2,8.816413,1.6296939,1.1818496967060823e-18,1.1627040195243637e-17,2.3511512,5.1023126,14.368054
RCSD1,13.626532,1.050004,2.7850502320360418e-42,7.523361446205722e-41,1.5148356,2.8576622,14.307913
NINJ2,11.006939,1.2883712,3.5382164488418747e-28,5.681545577991217e-27,1.8587267,3.6268742,14.181024
PTK2B,9.420082,1.4981959,4.507362603439587e-21,5.149358945966273e-20,2.1614397,4.473611,14.113129
RP11-693J15.6,8.241224,1.7016608,1.7045778222887348e-16,1.4553779144425065e-15,2.4549775,5.4830456,14.023767
RP11-620J15.3,16.110523,0.86545974,2.151925375877797e-58,9.710112436293277e-57,1.2485945,2.3760984,13.943009
LCP1,19.645523,0.707762,6.314343972191782e-86,4.9039381022493295e-84,1.0210848,2.0294442,13.904355
C1RL,8.772274,1.5656439,1.7509425468595054e-18,1.71008016335964e-17,2.2587466,4.7857556,13.734258
RALGAPA2,10.044969,1.3605785,9.667874324951594e-24,1.2574463916688247e-22,1.9628999,3.8984482,13.666968
PLD3,13.651308,0.9993137,1.9828668796663707e-42,5.410681009143674e-41,1.441705,2.716417,13.641939
ARL11,9.425747,1.4310898,4.270568163255522e-21,4.885747741446863e-20,2.064626,4.1832557,13.48909
SMIM14,9.452206,1.4241848,3.317646900056988e-21,3.811754482469459e-20,2.0546644,4.15447,13.461688
SUSD3,11.321367,1.188649,1.0285551555395849e-29,1.7638301467713857e-28,1.714858,3.2826436,13.457132
FMNL1,11.611411,1.1574134,3.606131984644249e-31,6.51604654138067e-30,1.6697946,3.1816928,13.439202
HSD17B4,10.787175,1.2370344,3.957667139450004e-27,6.019976927558885e-26,1.7846634,3.4453807,13.344108
DEF6,10.948914,1.2174735,6.7249071630416325e-28,1.0608803741384232e-26,1.756443,3.3786407,13.330012
AAK1,12.953532,1.0263205,2.2438639737947262e-38,5.2838744362507295e-37,1.4806675,2.790778,13.294476
TBC1D10C,8.3581505,1.5740461,6.370901768914244e-17,5.563002550002199e-16,2.2708685,4.826136,13.156115
TES,9.847008,1.3296254,7.061504287861263e-23,8.774733866623912e-22,1.9182439,3.779627,13.092832
ITM2B,15.644488,0.7820813,3.622712520105143e-55,1.477810556812588e-53,1.1283048,2.1860173,12.235262
ATP2B4,8.585413,1.4222955,9.051036120295381e-18,8.441711171319375e-17,2.0519385,4.146628,12.210994
BTG2,9.804711,1.244297,1.0745357177529798e-22,1.32504198355585e-21,1.7951411,3.470494,12.199973
RAB27A,12.832769,0.94994587,1.0745385262942088e-37,2.4726631558057906e-36,1.3704822,2.5855696,12.190436
TAPBP,11.934337,1.0179996,7.838135727284608e-33,1.532896422984934e-31,1.4686631,2.767653,12.149151
SCPEP1,9.056809,1.3389212,1.3432148517920834e-19,1.4163376446376837e-18,1.9316549,3.8149254,12.126354
ACAP1,7.986807,1.5177141,1.3847861061720314e-15,1.1229836726457328e-14,2.1895986,4.5617857,12.12169
TMSB10,23.307396,0.517027,3.7302197837060286e-120,5.194652619481654e-118,0.7459123,1.6770344,12.050553
DES,8.088747,1.4705633,6.028161291764187e-16,5.014362384508686e-15,2.1215744,4.351686,11.895015
ATP2A3,9.567359,1.240658,1.0967122019564882e-21,1.2893951172056122e-20,1.7898912,3.457888,11.869821
TRIM56,12.949918,0.9120709,2.352066052649687e-38,5.522569042805675e-37,1.3158401,2.4894724,11.811243
YPEL2,7.555231,1.556626,4.1811665400297865e-14,3.0645446591488735e-13,2.2457366,4.742792,11.760669
SLC8B1,8.213443,1.4034545,2.1493518138084977e-16,1.8274015368559197e-15,2.024757,4.069233,11.527194
PLEKHA2,8.878952,1.2900739,6.749296062443831e-19,6.7301313946122e-18,1.8611832,3.633055,11.454504
DSCR8,18.755384,0.6094119,1.7495015027538543e-78,1.2287585771950332e-76,0.8791955,1.8393494,11.429754
EPAS1,8.575261,1.3075807,9.886202375557642e-18,9.167721766633649e-17,1.8864402,3.6972184,11.212846
CH17-189H20.1,9.661629,1.1455796,4.3883130928830335e-22,5.2666277639251506e-21,1.652722,3.144263,11.068165
DBI,18.00726,0.61297524,1.70884031014725e-72,1.0536109301572015e-70,0.88433635,1.8459152,11.038004
ANXA3,9.948137,1.0997746,2.5694862228247123e-23,3.273460602800505e-22,1.5866394,3.003489,10.940709
MIR3945HG,8.437388,1.2921084,3.245056302587684e-17,2.9219977431438934e-16,1.8641185,3.640454,10.90202
PPARA,7.6712074,1.4208087,1.7038460442042716e-14,1.2837653450595058e-13,2.0497937,4.1404676,10.899318
IGFBP2,14.065138,0.7673016,6.220111301312762e-45,1.8607347770630807e-43,1.1069822,2.1539462,10.792203
HOTAIRM1,11.397361,0.93948644,4.309887333262113e-30,7.502362066973726e-29,1.3553925,2.558667,10.707666
ARPC5,15.563746,0.68504226,1.2836055512861937e-54,5.132515860266627e-53,0.98830706,1.9838556,10.661824
MYB,12.886316,0.82358646,5.375053234710527e-38,1.2511327082638883e-36,1.1881841,2.2786577,10.612996
CHN2,8.198828,1.2844136,2.4274248962647463e-16,2.059486437723777e-15,1.8530171,3.6125488,10.530685
RNASET2,12.220949,0.8615416,2.4026337863018137e-34,4.9887077357223e-33,1.2429419,2.3668067,10.528856
NAT6,8.664566,1.2146529,4.532375827930005e-18,4.311896297077815e-17,1.7523737,3.3691244,10.52444
IFI27L2,8.37196,1.2559447,5.66677240366411e-17,4.975056598303806e-16,1.8119452,3.511154,10.514719
IKZF1,10.278971,1.0203874,8.765854341683724e-25,1.1919495878414047e-23,1.4721079,2.7742693,10.488532
ADGRE5,8.38097,1.2430489,5.249314453116608e-17,4.628680440810354e-16,1.7933404,3.4661655,10.417955
F11R,9.784473,1.0616822,1.312771215450097e-22,1.616349559022932e-21,1.5316837,2.8912303,10.388001
ACAA1,11.4281225,0.8964019,3.0257905773270805e-30,5.31289358545018e-29,1.2932346,2.450769,10.24419
MOB3A,8.913488,1.1356192,4.945139620644186e-19,5.005249713777329e-18,1.6383522,3.1131003,10.122328
ACSL4,8.051615,1.2537513,8.170892986860634e-16,6.754995154030025e-15,1.8087808,3.5034604,10.094723
DUSP22,9.3642,1.0740676,7.662871785075908e-21,8.656365791336799e-20,1.549552,2.9272623,10.057783
SNX10,9.727822,1.0287609,2.294516719665067e-22,2.791086076014269e-21,1.4841883,2.7975974,10.007604
RILPL2,10.783806,0.9196967,4.105389072781962e-27,6.232937507680435e-26,1.3268418,2.5085294,9.91783
ITPR2,8.919004,1.1042713,4.704997666442813e-19,4.7741540391782165e-18,1.5931267,3.017025,9.849001
CD53,11.556671,0.8501859,6.830589354293267e-31,1.228745439078546e-29,1.2265589,2.3400817,9.825318
MBOAT7,11.19792,0.87547094,4.1742119756931667e-29,6.951569098489423e-28,1.2630376,2.4000053,9.803453
ASCL2,8.929216,1.0973799,4.290351209426328e-19,4.369882310029817e-18,1.5831846,2.996305,9.798743
CEBPA,7.9221997,1.233881,2.3334526213309223e-15,1.8514044029950744e-14,1.7801139,3.4345329,9.775052
HLA-E,8.366717,1.1570089,5.924563714581426e-17,5.190097735647958e-16,1.669211,3.1804059,9.6803665
COMMD6,16.960396,0.5689869,1.6125676058323973e-64,8.140442845192671e-63,0.8208746,1.7664764,9.650243
MILR1,7.2551327,1.3270268,4.0126811107946163e-13,2.7559885486299415e-12,1.914495,3.7698183,9.627756
PLPPR3,10.719031,0.8866825,8.286690227669378e-27,1.2394740179423254e-25,1.2792125,2.4270647,9.504377
PIK3CG,7.546846,1.2577049,4.4592617949381154e-14,3.259498417892774e-13,1.8144846,3.517339,9.491705
FNBP1,10.4119425,0.91025615,2.1871186091050587e-25,3.0562901394016535e-24,1.313222,2.4849591,9.477534
TNNT1,17.242895,0.545509,1.2653781700149425e-66,6.813639652807127e-65,0.7870031,1.7254864,9.406154
HESX1,7.8941135,1.1884503,2.9238598541792456e-15,2.292817091476288e-14,1.7145714,3.2819912,9.381762
TKT,13.935668,0.67085,3.8458343443097767e-44,1.109385857106788e-42,0.9678319,1.9558991,9.3487425
RAB31,11.640723,0.79596996,2.5583824287591064e-31,4.6645722070174496e-30,1.1483419,2.21659,9.265666
RAB8B,7.2909436,1.2682209,3.077916268138256e-13,2.143131870495922e-12,1.829656,3.5545232,9.246527
EFHD2,10.129227,0.9118251,4.098779669191537e-24,5.436099078499186e-23,1.3154856,2.4888608,9.236083
DSC2,8.593167,1.0740758,8.460424198923057e-18,7.909125723923788e-17,1.5495639,2.9272861,9.229713
YPEL1,6.9393697,1.3297637,3.93853443727971e-12,2.5149548047798327e-11,1.9184434,3.78015,9.227721
CD55,9.501511,0.96475977,2.0686740638362356e-21,2.4041266782165863e-20,1.3918542,2.6241572,9.166676
GNAI2,11.977228,0.76260024,4.67701445301227e-33,9.1913006659319e-32,1.1001996,2.1438434,9.133837
ARID5A,8.891895,1.0258411,6.007514119475216e-19,6.039774042220764e-18,1.4799759,2.7894406,9.121672
KIAA1551,9.732562,0.92725843,2.190067797864554e-22,2.6720812089655594e-21,1.3377512,2.52757,9.0246
RPS6KA1,8.267854,1.0839195,1.3639169125669215e-16,1.1732009481153382e-15,1.5637653,2.956244,8.961688
ABRACL,14.668333,0.6079091,1.0284005300406324e-48,3.4042586398107325e-47,0.8770274,1.8365873,8.917013
RHOG,11.323734,0.78576773,1.0011484464404962e-29,1.7204842557233805e-28,1.1336232,2.1940908,8.897825
PRSS57,13.979885,0.6343989,2.068216886713348e-44,6.0745410159940775e-43,0.9152441,1.8858881,8.868823
LINC01215,7.8636937,1.1248043,3.729694345681306e-15,2.9049895110962304e-14,1.6227496,3.079614,8.845117
NEAT1,14.709216,0.5969877,5.625498228224502e-49,1.8775681483210454e-47,0.8612712,1.8166382,8.781221
QSOX1,7.0972557,1.2360504,1.2725827158343509e-12,8.466763258479451e-12,1.7832438,3.441992,8.772566
ERV3-1,10.806003,0.79965436,3.224158024714174e-27,4.9227834339539474e-26,1.1536574,2.2247717,8.6410675
PLEKHO2,7.008486,1.223454,2.4091080763083947e-12,1.562920958421117e-11,1.765071,3.3989072,8.57456
CTD-2186M15.3,8.35057,1.0117795,6.793454929449155e-17,5.925565385006569e-16,1.4596894,2.7504911,8.4489355
NCF4,7.565049,1.1114662,3.8771775374731066e-14,2.85209134518855e-13,1.6035067,3.0388105,8.408297
TSC22D3,6.440412,1.3014953,1.191494759773496e-10,6.627894748409455e-10,1.8776609,3.6747873,8.382166
ROGDI,7.852385,1.0660952,4.0819821737831526e-15,3.173259866953467e-14,1.5380503,2.9040177,8.37139
SLC12A6,6.584138,1.2688165,4.57531561168466e-11,2.6528947735518303e-10,1.8305153,3.5566404,8.354063
LACTB,7.0466127,1.1822087,1.833255192881134e-12,1.2028596419903265e-11,1.7055665,3.2615697,8.330566
HYAL3,8.093422,1.023859,5.801151435519137e-16,4.8354902110101206e-15,1.4771163,2.7839174,8.286523
SERPING1,9.014669,0.9032404,1.9746475879137781e-19,2.0686418375589605e-18,1.3031005,2.4675863,8.142413
STAR,11.223101,0.7253351,3.140614517114555e-29,5.284738219736305e-28,1.0464374,2.0654233,8.140509
MFSD1,9.783069,0.8315668,1.3311188774591066e-22,1.6364455362613704e-21,1.1996973,2.2969148,8.135275
TNFRSF1A,9.3748255,0.8588264,6.928999398607036e-21,7.860326986313066e-20,1.2390246,2.3603888,8.051348
ACTR2,13.153207,0.6050282,1.631082299965692e-39,3.9681481135008714e-38,0.8728712,1.8313038,7.958061
WIPF1,8.118067,0.97677106,4.736699028621429e-16,3.964592544474123e-15,1.4091828,2.6558666,7.9294925
STK38L,7.552146,1.030083,4.2814488604138386e-14,3.132360728764726e-13,1.4860955,2.8012981,7.779337
CCDC189,6.090903,1.2764493,1.1227581778109634e-09,5.735937888791367e-09,1.8415271,3.583892,7.774729
XXbac-BPG299F13.17,7.0490365,1.1018189,1.8016068462837906e-12,1.1847254853239661e-11,1.5895886,3.0096354,7.766762
RASSF5,7.7500215,0.99912447,9.187699278950784e-15,7.027371882205066e-14,1.4414319,2.715903,7.743236
GPSM3,13.529537,0.56938195,1.0468116986696276e-41,2.763103951030909e-40,0.8214445,1.7671746,7.7034745
SORT1,8.938758,0.86033773,3.935687744448808e-19,4.0289670357304215e-18,1.241205,2.363959,7.6903505
